team,fair_value
Spain,19.72
France,18.98
Argentina,18.92
Portugal,14.88
England,12.09
Brazil,11.59
Colombia,10.99
Netherlands,9.13
Germany,8.28
Belgium,7.32
Uruguay,6.74
Morocco,5.92
Croatia,5.77
Switzerland,5.62
Senegal,5.28
Mexico,4.65
Japan,4.63
Ecuador,4.58
Canada,4.11
Turkey,3.95
Iran,3.36
United States,3.29
Algeria,3.25
Czechia,3.16
Austria,3.13
Paraguay,3.09
Ivory Coast,3.09
South Korea,2.84
Scotland,2.76
Norway,2.63
Australia,2.47
Sweden,2.1
Egypt,2.06
Bosnia and Herzegovina,1.34
Panama,1.31
Uzbekistan,1.13
Tunisia,1.08
South Africa,0.97
DR Congo,0.75
Saudi Arabia,0.73
Ghana,0.73
Cape Verde,0.65
New Zealand,0.64
Qatar,0.6
Jordan,0.54
Haiti,0.46
Iraq,0.41
Curaçao,0.24
