Group,Teams,Avg_Elo
I,"['France', 'Senegal', 'Iraq', 'Norway']",1869.5
J,"['Argentina', 'Algeria', 'Austria', 'Jordan']",1843.25
K,"['Portugal', 'DR Congo', 'Uzbekistan', 'Colombia']",1835.25
D,"['United States', 'Paraguay', 'Australia', 'Turkey']",1809.75
F,"['Netherlands', 'Japan', 'Sweden', 'Tunisia']",1805.0
L,"['England', 'Croatia', 'Ghana', 'Panama']",1797.5
H,"['Spain', 'Cape Verde', 'Saudi Arabia', 'Uruguay']",1793.5
C,"['Brazil', 'Morocco', 'Haiti', 'Scotland']",1776.25
E,"['Germany', 'Curaçao', 'Ivory Coast', 'Ecuador']",1742.0
G,"['Belgium', 'Egypt', 'Iran', 'New Zealand']",1725.25
A,"['Mexico', 'South Africa', 'South Korea', 'Czechia']",1715.5
B,"['Canada', 'Bosnia and Herzegovina', 'Qatar', 'Switzerland']",1673.0
