team,intercept,e_a,g_a,samples
Mexico,3.920562212556379,-0.0023710303429140857,0.18498747858083758,28
South Africa,-23.665711733567342,0.013607409876006801,0.4157997560537792,11
South Korea,1.9097321577453048,-0.0009593169187432035,0.07490184725690316,11
Czechia,1.5954339714529504,-0.000617011185059718,-0.3592580645446702,13
Canada,4.139736892999002,-0.002846669429114836,0.4376441295467761,22
Bosnia and Herzegovina,3.208626957007017,-0.0020034306423532184,0.10314296083895823,17
Qatar,2.216231730549209,-0.0012984194821992108,-0.06766424695121734,27
Switzerland,2.390789523343266,-0.00141309025851243,0.14205579836333387,12
Brazil,1051.474769202391,-0.5289108496993922,21.685344837675373,3
Morocco,3.791532084680225,-0.002134277483653195,0.1280836490849832,19
Haiti,2.738507168116371,-0.0022274820803341857,0.320053589579547,20
Scotland,0.9221825016975156,-0.0006471522321491243,0.04085245325007418,21
United States,8.092639567928074,-0.005156142529285118,0.7628773406416134,7
Paraguay,9.004869063359456,-0.005156791073691575,0.381519485184649,18
Australia,6.2138757406678415,-0.003567497093475357,0.1867769042599625,14
Turkey,19.188341535215166,-0.010093681505902456,0.04952276564178636,9
Germany,9.130028502871887,-0.005008579829700745,0.7341388592976386,7
Curaçao,0.18199075262079223,0.00010428651244679483,-0.1592384424505595,15
Ivory Coast,-1.5545770614722114,0.0013064361681640593,-0.2285520466699486,15
Ecuador,7.935369824699759,-0.004253977089213601,0.047923092626801604,17
Netherlands,1.4631166689749566,-0.0009809616685831348,0.44321542273381564,4
Japan,0.3285984859725679,6.08649681867841e-06,-0.05083252984312568,16
Sweden,20.833863025228943,-0.011250290853233877,0.021609462778467203,9
Tunisia,1.9534124590845445,-0.0012873639302393035,0.18105738016272724,24
Belgium,-2201.1087867345423,0.9780806162452392,135.11759176992638,5
Egypt,-10.110546418134895,0.00504586833378324,0.16785945890171006,19
Iran,0.7884552877929423,-0.0007717613574651388,0.22107833579144145,8
New Zealand,-0.8999348269501579,-0.00015514628241320957,0.15427663972074357,15
Spain,-646.1384628536132,0.3116924567550692,-4.675386851105124,4
Cape Verde,5.373995656183638,-0.004001487025499981,0.5704460650913208,12
Saudi Arabia,8.575100263075486,-0.005149166624788973,-0.11288653303865981,32
Uruguay,301.40989735655637,-0.1518491817565507,-0.8580053987644392,8
France,53.947584201423126,-0.02573314658547159,0.6491508459595996,4
Senegal,-6.056411416093492,0.0038486169283241272,-0.9151363473105534,9
Iraq,3.8262431787269042,-0.002378934541372277,-0.35187248622787276,25
Norway,-7.848686621451823,0.004403678872612931,-0.15405781883234668,8
Argentina,-28.160592154549164,0.012996815305537385,0.6404706407381352,7
Algeria,-8.604684070235487,0.004496072400375061,0.3157698537357793,12
Austria,2.338383246796785,-0.0012055110350585355,-0.1319951141568459,17
Jordan,-5.751747694883884,0.0034065432503976763,0.0036911581389555415,28
Portugal,-9.015712602599873,0.003336772589294175,1.205143648522418,8
DR Congo,-0.618350906135646,0.00012009029596256017,0.048072216081983005,19
Uzbekistan,3.844457084365607,-0.002463213022059124,0.34134190765076605,14
Colombia,5.9686446904217085,-0.0032675103168501767,0.2980672535040483,8
England,-5.787280887711522,0.0024630347236135213,0.26775623535068127,7
Croatia,6.50301362836828,-0.003465825783422418,0.19903404374148648,17
Ghana,2.7780578604441364,-0.0015884542370113426,0.02076201119945443,19
Panama,6.987782869365466,-0.004261273987549124,0.1772826250346996,29
