match_number,kickoff_at,match_label,host_country,home_team,away_team
1,2026-06-12 03:00:00,Group A,Mexico,Mexico,South Africa
2,2026-06-12 10:00:00,Group A,Mexico,South Korea,Czechia
3,2026-06-13 03:00:00,Group B,Canada,Canada,Bosnia and Herzegovina
4,2026-06-13 09:00:00,Group D,United States,United States,Paraguay
5,2026-06-14 03:00:00,Group B,United States,Qatar,Switzerland
6,2026-06-14 06:00:00,Group C,United States,Brazil,Morocco
7,2026-06-14 09:00:00,Group C,United States,Haiti,Scotland
8,2026-06-14 12:00:00,Group D,Canada,Australia,Turkey
9,2026-06-15 01:00:00,Group E,United States,Germany,Curaçao
10,2026-06-15 04:00:00,Group F,United States,Netherlands,Japan
11,2026-06-15 07:00:00,Group E,United States,Ivory Coast,Ecuador
12,2026-06-15 10:00:00,Group F,Mexico,Sweden,Tunisia
13,2026-06-16 00:00:00,Group H,United States,Spain,Cape Verde
14,2026-06-16 03:00:00,Group G,United States,Belgium,Egypt
15,2026-06-16 06:00:00,Group H,United States,Saudi Arabia,Uruguay
16,2026-06-16 09:00:00,Group G,United States,Iran,New Zealand
17,2026-06-17 03:00:00,Group I,United States,France,Senegal
18,2026-06-17 06:00:00,Group I,United States,Iraq,Norway
19,2026-06-17 09:00:00,Group J,United States,Argentina,Algeria
20,2026-06-17 12:00:00,Group J,United States,Austria,Jordan
21,2026-06-18 01:00:00,Group K,United States,Portugal,DR Congo
22,2026-06-18 04:00:00,Group L,United States,England,Croatia
23,2026-06-18 07:00:00,Group L,Canada,Ghana,Panama
24,2026-06-18 10:00:00,Group K,Mexico,Uzbekistan,Colombia
25,2026-06-19 00:00:00,Group A,United States,Czechia,South Africa
26,2026-06-19 03:00:00,Group B,United States,Switzerland,Bosnia and Herzegovina
27,2026-06-19 06:00:00,Group B,Canada,Canada,Qatar
28,2026-06-19 09:00:00,Group A,Mexico,Mexico,South Korea
29,2026-06-20 03:00:00,Group D,United States,United States,Australia
30,2026-06-20 06:00:00,Group C,United States,Scotland,Morocco
31,2026-06-20 09:00:00,Group C,United States,Brazil,Haiti
32,2026-06-20 12:00:00,Group D,United States,Turkey,Paraguay
33,2026-06-21 01:00:00,Group F,United States,Netherlands,Sweden
34,2026-06-21 04:00:00,Group E,Canada,Germany,Ivory Coast
35,2026-06-21 08:00:00,Group E,United States,Ecuador,Curaçao
36,2026-06-21 12:00:00,Group F,Mexico,Tunisia,Japan
37,2026-06-22 00:00:00,Group H,United States,Spain,Saudi Arabia
38,2026-06-22 03:00:00,Group G,United States,Belgium,Iran
39,2026-06-22 06:00:00,Group H,United States,Uruguay,Cape Verde
40,2026-06-22 09:00:00,Group G,Canada,New Zealand,Egypt
41,2026-06-23 01:00:00,Group J,United States,Argentina,Austria
42,2026-06-23 05:00:00,Group I,United States,France,Iraq
43,2026-06-23 08:00:00,Group I,United States,Norway,Senegal
44,2026-06-23 11:00:00,Group J,United States,Jordan,Algeria
45,2026-06-24 01:00:00,Group K,United States,Portugal,Uzbekistan
46,2026-06-24 04:00:00,Group L,United States,England,Ghana
47,2026-06-24 07:00:00,Group L,Canada,Panama,Croatia
48,2026-06-24 10:00:00,Group K,Mexico,Colombia,DR Congo
49,2026-06-25 03:00:00,Group B,Canada,Switzerland,Canada
50,2026-06-25 03:00:00,Group B,United States,Bosnia and Herzegovina,Qatar
51,2026-06-25 06:00:00,Group C,United States,Scotland,Brazil
52,2026-06-25 06:00:00,Group C,United States,Morocco,Haiti
53,2026-06-25 09:00:00,Group A,Mexico,Czechia,Mexico
54,2026-06-25 09:00:00,Group A,Mexico,South Africa,South Korea
55,2026-06-26 04:00:00,Group E,United States,Curaçao,Ivory Coast
56,2026-06-26 04:00:00,Group E,United States,Ecuador,Germany
57,2026-06-26 07:00:00,Group F,United States,Japan,Sweden
58,2026-06-26 07:00:00,Group F,United States,Tunisia,Netherlands
59,2026-06-26 10:00:00,Group D,United States,Turkey,United States
60,2026-06-26 10:00:00,Group D,United States,Paraguay,Australia
61,2026-06-27 03:00:00,Group I,United States,Norway,France
62,2026-06-27 03:00:00,Group I,Canada,Senegal,Iraq
63,2026-06-27 08:00:00,Group H,United States,Cape Verde,Saudi Arabia
64,2026-06-27 08:00:00,Group H,Mexico,Uruguay,Spain
65,2026-06-27 11:00:00,Group G,United States,Egypt,Iran
66,2026-06-27 11:00:00,Group G,Canada,New Zealand,Belgium
67,2026-06-28 05:00:00,Group L,United States,Panama,England
68,2026-06-28 05:00:00,Group L,United States,Croatia,Ghana
69,2026-06-28 07:30:00,Group K,United States,Colombia,Portugal
70,2026-06-28 07:30:00,Group K,United States,DR Congo,Uzbekistan
71,2026-06-28 10:00:00,Group J,United States,Algeria,Austria
72,2026-06-28 10:00:00,Group J,United States,Jordan,Argentina
