team,group,group_gf,group_ga,ko_gf,ko_ga,ko_match_rate
Germany,E,3.486,1.0,1.778,1.55,2.273
Argentina,J,3.228,0.438,2.015,0.905,3.352
France,I,3.18,0.786,2.209,1.125,3.434
England,L,2.842,0.978,1.905,1.112,3.158
Sweden,F,2.362,1.533,1.041,2.019,1.361
Norway,I,2.144,2.239,1.431,2.32,1.394
United States,D,2.133,1.025,1.285,1.36,1.963
Croatia,L,2.09,1.903,1.255,1.615,1.459
Netherlands,F,1.993,1.196,1.716,1.433,2.137
Colombia,K,1.979,0.88,1.668,1.029,2.752
Mexico,A,1.85,0.652,1.414,1.662,1.914
Brazil,C,1.819,0.831,1.717,1.201,2.436
Japan,F,1.711,1.274,1.21,1.453,1.523
Austria,J,1.677,1.441,1.199,1.839,1.486
Belgium,G,1.536,0.787,1.472,1.283,2.102
Portugal,K,1.509,0.9,1.868,1.106,2.559
Spain,H,1.501,0.411,2.137,1.172,2.954
South Korea,A,1.496,1.187,1.312,1.719,1.633
Canada,B,1.495,0.996,1.076,1.398,1.512
Switzerland,B,1.456,0.971,1.45,1.505,1.705
Iran,G,1.453,1.543,1.22,1.708,1.09
Australia,D,1.372,0.712,1.137,1.486,1.717
Morocco,C,1.36,0.795,1.229,1.218,1.772
Senegal,I,1.352,1.633,1.214,1.355,1.31
Ivory Coast,E,1.268,0.789,1.05,1.495,1.574
Uruguay,H,1.266,1.082,1.17,1.213,1.547
Czechia,A,1.15,1.474,1.176,1.615,0.952
Ecuador,E,1.126,1.032,1.171,1.566,1.34
Paraguay,D,1.091,2.191,1.089,1.806,0.554
Egypt,G,1.054,1.015,0.901,1.563,1.028
Bosnia and Herzegovina,B,1.046,1.337,0.868,1.999,0.758
New Zealand,G,1.016,1.714,0.556,1.87,0.378
Algeria,J,0.933,1.735,1.152,1.56,0.906
Scotland,C,0.907,1.023,1.109,1.778,1.324
Uzbekistan,K,0.887,2.029,0.731,2.135,0.356
Qatar,B,0.877,1.57,0.79,2.415,0.436
Turkey,D,0.844,1.513,1.254,1.887,0.736
Jordan,J,0.829,3.053,0.976,2.601,0.095
Saudi Arabia,H,0.78,1.64,0.561,1.842,0.433
Tunisia,F,0.775,2.838,0.615,1.76,0.139
Ghana,L,0.738,1.444,0.701,2.366,0.751
DR Congo,K,0.733,1.299,0.605,1.8,0.489
Curaçao,E,0.668,3.727,0.465,2.461,0.041
Iraq,I,0.608,2.627,0.542,1.942,0.067
Cape Verde,H,0.555,0.968,0.642,2.599,0.577
South Africa,A,0.478,1.661,0.681,1.46,0.266
Panama,L,0.477,1.821,0.828,2.336,0.152
Haiti,C,0.386,1.822,0.64,2.372,0.103
