match_uid,round_id,stage,date,home_team,away_team,pred_home,pred_away,xg_home,xg_away,p_home,p_draw,p_away,p_over25,p_under25,p_over35,p_under35,elo_retrieved_date,model_version,home_score,away_score,outcome,actual_winner
GRP|Mexico|South Africa,G1,Group A,2026-06-12,Mexico,South Africa,2,0,1.58,0.42,0.664033596640336,0.2408759124087591,0.0950904909509049,0.3244,0.6756,0.1436,0.8564,2026-06-11,f358167,2,0,home,Mexico
GRP|Czechia|South Korea,G1,Group A,2026-06-12,South Korea,Czechia,0,1,1.34,1.41,0.3557,0.2551,0.3892,0.5193,0.4807,0.2977,0.7023,2026-06-11,f358167,2,1,home,South Korea
GRP|Bosnia and Herzegovina|Canada,G1,Group B,2026-06-13,Canada,Bosnia and Herzegovina,2,1,1.63,0.79,0.5755575557555755,0.2454245424542454,0.179017901790179,0.4361,0.5639,0.2259,0.7741,2026-06-11,f358167,1,1,draw,
GRP|Paraguay|United States,G1,Group D,2026-06-13,United States,Paraguay,0,1,0.99,1.22,0.2987,0.2883,0.413,0.3791,0.6209,0.182,0.818,2026-06-11,f358167,4,1,home,United States
GRP|Qatar|Switzerland,G1,Group B,2026-06-14,Qatar,Switzerland,1,3,0.69,2.73,0.0694,0.1303,0.8003,0.6654,0.3346,0.4475,0.5525,2026-06-11,f358167,1,1,draw,
GRP|Brazil|Morocco,G1,Group C,2026-06-14,Brazil,Morocco,1,0,1.27,0.9,0.4472,0.2875,0.2653,0.3689,0.6311,0.1746,0.8254,2026-06-11,f358167,1,1,draw,
GRP|Haiti|Scotland,G1,Group C,2026-06-14,Haiti,Scotland,1,2,0.65,1.7,0.1383,0.2334,0.6283,0.4178,0.5822,0.2114,0.7886,2026-06-11,f358167,0,1,away,Scotland
GRP|Australia|Turkey,G1,Group D,2026-06-14,Australia,Turkey,0,1,1.08,1.4,0.2903290329032903,0.267026702670267,0.4426442644264426,0.4512,0.5488,0.2383,0.7617,2026-06-11,f358167,2,0,home,Australia
GRP|Curaçao|Germany,G1,Group E,2026-06-15,Germany,Curaçao,3,0,3.01,0.41,0.8839,0.0876,0.0285,0.6654,0.3346,0.4475,0.5525,2026-06-11,f358167,7,1,home,Germany
GRP|Ecuador|Ivory Coast,G1,Group E,2026-06-15,Ivory Coast,Ecuador,0,1,0.86,1.24,0.259,0.2925,0.4485,0.3507,0.6493,0.1616,0.8384,2026-06-11,f358167,1,0,home,Ivory Coast
GRP|Japan|Netherlands,G1,Group F,2026-06-15,Netherlands,Japan,2,1,1.56,1.09,0.4798,0.2529,0.2673,0.4939,0.5061,0.2748,0.7252,2026-06-11,f358167,2,2,draw,
GRP|Sweden|Tunisia,G1,Group F,2026-06-15,Sweden,Tunisia,1,0,1.42,0.82,0.5097509750975098,0.272027202720272,0.2182218221822182,0.3875,0.6125,0.1882,0.8118,2026-06-11,f358167,5,1,home,Sweden
GRP|Belgium|Egypt,G1,Group G,2026-06-16,Belgium,Egypt,2,1,1.61,0.69,0.5971402859714028,0.2462753724627537,0.1565843415658434,0.4033,0.5967,0.2001,0.7999,2026-06-11,f358167,1,1,draw,
GRP|Iran|New Zealand,G1,Group G,2026-06-16,Iran,New Zealand,2,1,1.7,0.55,0.6567656765676568,0.229022902290229,0.1142114211421142,0.3901,0.6099,0.1902,0.8098,2026-06-11,f358167,2,2,draw,
GRP|Cape Verde|Spain,G1,Group H,2026-06-16,Spain,Cape Verde,4,0,4.21,0.49,0.9463,0.0402,0.0135,0.848,0.152,0.6909,0.3091,2026-06-11,f358167,0,0,draw,
GRP|Saudi Arabia|Uruguay,G1,Group H,2026-06-16,Saudi Arabia,Uruguay,0,2,0.44,1.71,0.0899,0.2222,0.6879,0.3639,0.6361,0.1709,0.8291,2026-06-11,f358167,1,1,draw,
GRP|France|Senegal,G1,Group I,2026-06-17,France,Senegal,2,1,1.8,0.86,0.5958404159584042,0.2277772222777722,0.1763823617638236,0.4986,0.5014,0.279,0.721,2026-06-11,f358167,3,1,home,France
GRP|Iraq|Norway,G1,Group I,2026-06-17,Iraq,Norway,0,2,0.49,1.96,0.0821917808219178,0.190980901909809,0.7268273172682732,0.4434,0.5566,0.2318,0.7682,2026-06-11,f358167,1,4,away,Norway
GRP|Algeria|Argentina,G1,Group J,2026-06-17,Argentina,Algeria,2,1,1.87,0.69,0.6533,0.2149,0.1318,0.4715,0.5285,0.2554,0.7446,2026-06-11,f358167,3,0,home,Argentina
GRP|Austria|Jordan,G1,Group J,2026-06-17,Austria,Jordan,2,1,1.96,0.94,0.6105,0.2142,0.1753,0.5538,0.4462,0.3302,0.6698,2026-06-11,f358167,3,1,home,Austria
GRP|DR Congo|Portugal,G1,Group K,2026-06-18,Portugal,DR Congo,2,1,2.12,0.51,0.7489,0.1744,0.0767,0.4886,0.5114,0.2701,0.7299,2026-06-11,f358167,1,1,draw,
GRP|Colombia|Uzbekistan,G1,Group K,2026-06-18,Uzbekistan,Colombia,1,2,0.53,2.09,0.0822,0.1788,0.739,0.4883,0.5117,0.2699,0.7301,2026-06-11,f358167,1,3,away,Colombia
GRP|Croatia|England,G1,Group L,2026-06-18,England,Croatia,2,1,1.58,0.97,0.5153,0.2526,0.2321,0.4676,0.5324,0.252,0.748,2026-06-11,f358167,4,2,home,England
GRP|Ghana|Panama,G1,Group L,2026-06-18,Ghana,Panama,1,2,1.2,1.63,0.2803,0.2449,0.4748,0.5365,0.4635,0.3137,0.6863,2026-06-11,f358167,1,0,home,Ghana
