team,xgf_thr10,xgf_thr20,d_xgf,xga_thr10,xga_thr20,d_xga
Belgium,0.931,1.554,-0.623,0.925,0.87,0.055
Sweden,1.955,1.375,0.58,1.264,1.292,-0.028
Portugal,1.702,2.085,-0.383,0.953,0.832,0.121
Switzerland,1.833,1.576,0.257,1.155,1.241,-0.086
Croatia,1.345,1.584,-0.239,1.01,1.152,-0.142
Spain,2.691,2.458,0.233,0.734,0.613,0.121
Czechia,1.506,1.292,0.214,1.224,1.292,-0.068
Netherlands,1.924,2.047,-0.123,0.991,1.006,-0.015
Turkey,1.393,1.301,0.092,1.233,1.449,-0.216
England,1.638,1.557,0.081,0.532,0.579,-0.047
Norway,1.702,1.702,0.0,1.533,1.533,0.0
Austria,1.421,1.421,0.0,1.097,1.097,0.0
Germany,2.137,2.137,0.0,1.077,1.077,0.0
France,2.108,2.108,0.0,0.653,0.653,0.0
Scotland,0.985,0.985,0.0,1.202,1.202,0.0
